dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002948,14.232001,0.003343,0.133704,2.674089,53.481773,0.000344
0.050000,0.015265,14.232014,0.015659,0.246336,2.252627,-8.429235,0.001784
0.050000,0.042971,14.232108,0.043366,0.554127,6.155832,78.064109,0.005031
0.050000,0.092204,14.232498,0.092600,0.984680,8.611045,49.104244,0.010834
0.050000,0.165995,14.233621,0.166399,1.475984,9.826088,24.300870,0.019609
0.050000,0.264266,14.236129,0.264703,1.966078,9.801879,-0.484178,0.031438
0.050000,0.386904,14.240903,0.387434,2.454620,9.770831,-0.620957,0.046428
0.050000,0.533745,14.249067,0.534501,2.941336,9.734335,-0.729935,0.064701
0.050000,0.704560,14.261990,0.705804,3.426064,9.694562,-0.795455,0.086395
0.050000,0.899043,14.281302,0.901244,3.908803,9.654770,-0.795845,0.111643
0.050000,1.116791,14.308897,1.120733,4.389785,9.619634,-0.702707,0.140566
0.050000,1.357280,14.346932,1.364211,4.869563,9.595560,-0.481483,0.173243
0.050000,1.619850,14.397818,1.631667,5.349104,9.590834,-0.094528,0.209691
0.050000,1.903685,14.464197,1.923160,5.829876,9.615428,0.491892,0.249824
0.050000,2.207805,14.548897,2.238855,6.313886,9.680212,1.295670,0.293420
0.050000,2.531059,14.654873,2.579037,6.803654,9.795353,2.302822,0.340085
0.050000,2.872141,14.785116,2.944140,7.302051,9.967937,3.451684,0.389229
0.050000,3.229613,14.942539,3.334741,7.812012,10.199233,4.625927,0.440065
0.050000,3.601958,15.129856,3.751548,8.336140,10.482562,5.666564,0.491625
0.050000,3.987645,15.349439,4.195362,8.876288,10.802953,6.407833,0.542817
0.050000,4.385227,15.603200,4.667025,9.433257,11.139381,6.728549,0.592497
0.050000,4.793451,15.892490,5.167361,10.006719,11.469239,6.597158,0.639540
0.050000,5.211388,16.218044,5.697131,10.595398,11.773584,6.086914,0.682911
0.050000,5.638556,16.579962,6.257004,11.197460,12.041232,5.352949,0.721697
0.050000,6.075045,16.977739,6.847553,11.810983,12.270466,4.584679,0.755117
0.050000,6.521621,17.410295,7.469273,12.434402,12.468380,3.958276,0.782497
0.050000,6.979836,17.876016,8.122615,13.066842,12.648789,3.608184,0.803218
0.050000,7.452118,18.372750,8.808032,13.708335,12.829875,3.621719,0.816663
0.050000,7.941890,18.897768,9.526029,14.359950,13.032299,4.048479,0.822135
0.050000,8.453696,19.447627,10.277221,15.023843,13.277855,4.911121,0.818791
0.050000,8.993353,20.017933,11.062384,15.703242,13.587987,6.202639,0.805564
0.050000,9.567323,20.602271,11.881463,16.381591,13.566970,-0.420322,0.782353
0.050000,10.174858,21.192093,12.728215,16.935040,11.068981,-49.959790,0.758028
0.050000,10.821424,21.786247,13.606319,17.562078,12.540767,29.435722,0.727386
0.050000,11.509573,22.376592,14.512992,18.133466,11.427745,-22.260438,0.689654
