dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003452,12.768001,0.003343,0.133704,2.674089,53.481773,0.000344
0.050000,0.017876,12.768016,0.017767,0.288482,3.095549,8.429217,0.001784
0.050000,0.050337,12.768127,0.050227,0.649212,7.214601,82.381037,0.005031
0.050000,0.108064,12.768584,0.107957,1.154588,10.107527,57.858506,0.010834
0.050000,0.194700,12.769903,0.194602,1.732912,11.566475,29.178974,0.019609
0.050000,0.310284,12.772852,0.310224,2.312439,11.590537,0.481237,0.031438
0.050000,0.454850,12.778481,0.454900,2.893508,11.621376,0.616768,0.046428
0.050000,0.628401,12.788130,0.628719,3.476387,11.657590,0.724294,0.064701
0.050000,0.830885,12.803450,0.831781,4.061237,11.696997,0.788135,0.086395
0.050000,1.062150,12.826417,1.064184,4.648054,11.736330,0.786663,0.111643
0.050000,1.321902,12.859337,1.326014,5.236599,11.770910,0.691596,0.140566
0.050000,1.609641,12.904847,1.617329,5.826316,11.794341,0.468625,0.173243
0.050000,1.924592,12.965887,1.938141,6.416235,11.798368,0.080526,0.209691
0.050000,2.265634,13.045645,2.288385,7.004888,11.773077,-0.505815,0.249824
0.050000,2.631233,13.147468,2.667899,7.590273,11.707700,-1.307538,0.293420
0.050000,3.019401,13.274722,3.076393,8.169884,11.592203,-2.309945,0.340085
0.050000,3.427693,13.430620,3.513437,8.740866,11.419652,-3.451022,0.389229
0.050000,3.853275,13.618023,3.978452,9.300312,11.188910,-4.614835,0.440065
0.050000,4.293052,13.839241,4.470735,9.845647,10.906718,-5.643834,0.491625
0.050000,4.743875,14.095879,4.989487,10.375047,10.587991,-6.374535,0.542817
0.050000,5.202774,14.388741,5.533873,10.887726,10.253579,-6.688256,0.592497
0.050000,5.667205,14.717820,6.103074,11.384017,9.925819,-6.555199,0.639540
0.050000,6.135251,15.082361,6.696333,11.865185,9.623370,-6.048969,0.682911
0.050000,6.605762,15.480958,7.312986,12.333045,9.357188,-5.323647,0.721697
0.050000,7.078432,15.911667,7.952460,12.789487,9.128845,-4.566854,0.755117
0.050000,7.553818,16.372092,8.614262,13.236047,8.931189,-3.953119,0.782497
0.050000,8.033322,16.859422,9.297941,13.673566,8.750385,-3.616094,0.803218
0.050000,8.519176,17.370412,10.003039,14.101976,8.568209,-3.643509,0.816663
0.050000,9.014417,17.901283,10.729048,14.520170,8.363873,-4.086725,0.822135
0.050000,9.522885,18.447561,11.475345,14.925934,8.115290,-4.971652,0.818791
0.050000,10.049221,19.003814,12.241142,15.315958,7.800474,-6.296320,0.805564
0.050000,10.599370,19.563918,13.026242,15.701990,7.720635,-1.596777,0.782353
0.050000,11.181345,20.128947,13.837384,16.222842,10.417041,53.928101,0.758028
0.050000,11.794867,20.692763,14.670630,16.664917,8.841510,-31.510609,0.727386
0.050000,12.441072,21.247166,15.522066,17.028714,7.275935,-31.311501,0.689654
0.050000,13.118432,21.781151,16.384595,17.250593,4.437585,-56.767005,0.644277
0.050000,13.824621,22.283474,17.251216,17.332412,1.636375,-56.024204,0.590965
0.050000,14.553443,22.741616,18.112073,17.217136,-2.305514,-78.837780,0.530093
0.050000,15.296957,23.144927,18.957930,16.917136,-6.000018,-73.890072,0.462739
0.050000,16.048150,23.486810,19.783263,16.506670,-8.209311,-44.185855,0.390480
0.050000,16.798578,23.763575,20.583101,15.996757,-10.198249,-39.778773,0.315503
0.050000,17.541677,23.975608,21.355858,15.455148,-10.832195,-12.678912,0.240056
0.050000,18.273433,24.126289,22.102967,14.942173,-10.259490,11.454103,0.166084
0.050000,18.989964,24.220360,22.825647,14.453595,-9.771570,9.758404,0.095244
0.050000,19.687776,24.263528,23.524792,13.982915,-9.413603,7.159337,0.028754
0.050000,20.411621,24.275072,24.248730,14.478758,9.916869,386.609443,0.032656
0.050000,21.130131,24.312517,24.968215,14.389689,-1.781378,-233.964942,0.066886
0.050000,21.801855,24.361473,25.641721,13.470124,-18.391307,-332.198590,0.074790
0.050000,22.430896,24.405278,26.272285,12.611282,-17.176836,24.289436,0.060566
0.050000,23.018475,24.431626,26.860454,11.763379,-16.958057,4.375568,0.024992
0.050000,23.562955,24.430600,27.404936,10.889631,-17.474965,-10.338151,6.249515
0.050000,24.059702,24.394135,27.903019,9.961677,-18.559072,-21.682148,6.164100
0.050000,24.501407,24.316715,28.351457,8.968759,-19.858372,-25.985995,6.047533
0.050000,24.880327,24.196915,28.748865,7.948149,-20.412196,-11.076476,5.897944
0.050000,25.193411,24.037889,29.100021,7.023119,-18.500606,38.231795,5.721818
0.050000,25.446253,23.844589,29.418288,6.365353,-13.155311,106.905903,5.537292
0.050000,25.649241,23.621420,29.719964,6.033519,-6.636680,130.372617,5.366513
0.050000,25.810940,23.374653,30.014991,5.900527,-2.659837,79.536857,5.223024
0.050000,25.937390,23.113843,30.304838,5.796944,-2.071661,11.763514,5.108860
0.050000,26.034052,22.849351,30.586440,5.632043,-3.298021,-24.527202,5.019876
0.050000,26.106340,22.589898,30.855775,5.386703,-4.906807,-32.175712,4.950611
0.050000,26.159278,22.341902,31.109359,5.071667,-6.300710,-27.878064,4.896327
0.050000,26.197199,22.109801,31.344536,4.703555,-7.362246,-21.230716,4.853413
0.050000,26.223681,21.896599,31.559376,4.296801,-8.135073,-15.456530,4.819235
0.050000,26.241602,21.704320,31.752489,3.862255,-8.690931,-11.117167,4.791901
0.050000,26.253251,21.534334,31.922874,3.407699,-9.091124,-8.003867,4.770046
0.050000,26.260428,21.387576,32.069807,2.938668,-9.380615,-5.789806,4.752682
0.050000,26.264538,21.264688,32.192764,2.459135,-9.590662,-4.200957,4.739093
0.050000,26.266657,21.166110,32.291365,1.972006,-9.742576,-3.038278,4.728761
0.050000,26.267592,21.092143,32.365338,1.479469,-9.850744,-2.163357,4.721316
0.050000,26.267912,21.042889,32.414593,0.985098,-9.887424,-0.733599,4.716498
0.050000,26.267989,21.015250,32.442232,0.552774,-8.646465,24.819190,4.713841
0.050000,26.268000,21.003032,32.454450,0.244368,-6.168120,49.566892,4.712677
0.050000,26.268000,21.000000,32.457482,0.060638,-3.674599,49.870420,4.712389
0.050000,26.268000,21.000000,32.457482,0.000000,-1.212767,49.236644,4.712389
